TOT Global CM22 (vent/cor) [kW-hr/m^2],AVG Tower Dry Bulb Temp [deg C],AVG Tower RH [%],AVG Total Cloud Cover [%],AVG Station Pressure [mBar],AVG Precipitation [mm]
3.6705,-9.3522,86.4409,23.3243,815.5931,0.0018
4.6957,7.3375,35.1175,10.9917,814.7984,0
3.5299,6.8959,41.7639,29.9757,812.704,0
5.6665,4.2045,61.5048,-0.0875,817.867,0.0138
1.7623,11.877,21.1751,40.8667,812.2145,0
0.8771,2.3208,82.0948,41.5076,814.0517,0.0034
5.8943,3.8668,59.4259,1.7979,822.5306,0.0102
6.0221,13.7206,13.5672,5.1625,819.0476,0
3.2349,14.537,12.9152,29.1889,811.5819,0
1.476,1.561,63.4022,36.4493,815.3543,0
6.2533,1.2409,44.4343,1.1299,821.9271,0.0012
5.7818,8.4891,23.6238,8.3181,813.9592,0
6.2005,8.3829,28.0487,-0.2361,814.4798,0
2.4392,3.9324,43.3987,41.1035,817.5849,0
6.1436,6.8758,38.8134,1.6528,819.4731,0
5.0197,10.5393,22.5392,19.2049,803.2347,0
2.784,0.1937,44.7399,39.8993,809.8076,0
6.4669,4.4514,30.9441,4.6688,816.4494,0
6.3874,10.7338,11.3938,4.0771,812.8173,0
5.3164,2.5692,49.7428,18.6861,816.4851,0
1.6825,-3.4158,89.3229,44.2771,818.8679,0
7.0288,3.2817,55.0212,0.9451,817.5256,0.0011
4.0424,-0.5462,62.8429,23.1882,820.5023,0
6.7051,4.788,51.9216,4.0667,815.9672,0
4.684,10.1097,33.0061,22.6889,801.988,0.0002
6.768,6.781,39.2665,5.634,805.1565,0
6.4409,4.8118,36.8685,2.6903,816.2296,0
6.0201,10.2508,18.0371,15.5007,816.4482,0
4.7726,12.1716,23.4247,36.0382,806.8217,0
7.1908,6.6964,30.9428,2.5847,810.4955,0
4.5545,5.5857,48.1156,31.7236,808.4542,0
3.4759,1.7782,75.4664,38.2847,807.1411,0.0011
4.8956,0.8721,83.044,32.9757,813.0871,0.0108
5.5727,4.0724,45.1796,26.5754,815.2717,0
4.1225,6.2576,46.4465,31.9575,812.356,0
4.9044,6.3837,47.2405,23.3354,812.7684,0
4.7706,5.85,48.7795,34.5215,819.0811,0.0002
7.3696,12.7885,28.3954,0.8333,820.5844,0
5.7493,17.2477,17.1449,28.8792,815.6267,0
6.796,12.4896,40.2814,12.9479,815.8381,0
7.6016,16.0471,22.972,0.8986,814.4572,0
3.422,14.963,25.5814,45.7556,808.9302,0
1.5408,-2.403,102.3579,47.4116,813.4378,0.0014
7.9809,-2.8595,76.9317,0.316,821.3266,0.0085
6.1709,10.8357,20.5117,30.1549,811.5609,0
5.7246,7.6012,39.738,29.616,812.8055,0
7.5878,8.902,48.336,4.1493,816.5833,0
6.0859,17.0203,23.5594,22.3451,814.2906,0
3.6141,13.2324,49.8639,45.8632,816.9786,0.0032
5.6264,13.8944,47.4167,27.3938,818.0986,0
6.8466,12.7124,46.2008,11.7299,822.2166,0
5.8324,16.8493,33.8877,32.4694,812.3809,0
5.5942,13.4505,43.5136,27.4681,806.7869,0.0025
7.9366,10.1282,33.9566,9.4833,814.1088,0
5.5737,14.4873,24.7284,34.8701,810.0247,0
6.9143,16.0398,22.7393,30.1632,800.3616,0
1.5418,8.0996,32.7327,50.625,799.6556,0
8.5462,6.5187,27.2057,11.4667,808.829,0
4.4916,5.554,38.2498,38.1563,818.9951,0
5.7186,4.4188,47.459,23.4611,823.1966,0
8.1771,7.8228,30.1678,1.9236,821.1402,0
7.6181,15.6142,23.1963,17.0355,816.8507,0
6.6088,18.9125,18.4232,31.4345,815.302,0
6.9979,20.9916,13.7694,28.9917,812.8424,0
5.1343,19.2143,13.8957,46.9174,811.7984,0
5.5146,16.9922,21.9785,40.0167,806.2498,0
4.3493,10.8152,66.6645,36.9805,807.4116,0.0079
3.9191,4.9456,88.5382,46.6535,812.3601,0.0049
4.8602,9.6699,51.5423,44.8368,812.3844,0.0009
4.6356,10.9917,59.0581,36.4264,811.0364,0.0007
2.0475,0.8636,116.5596,50.3795,813.5585,0.0196
3.7798,-0.262,95.5271,49.534,822.8578,0.0065
7.3415,3.7658,52.8811,16.1951,827.521,0
6.8312,7.436,48.7748,21.1715,826.2487,0.0002
7.0964,9.5955,60.3871,19.5201,822.528,0
5.3707,11.0102,63.1468,37.6715,819.0861,0.0004
6.0639,11.7565,74.8139,27.2806,816.8068,0
6.2692,18.8546,36.0253,35.6368,810.6503,0
8.5791,18.7753,30.7704,1.8924,810.9298,0
5.9815,15.4965,59.1501,22.0481,816.1194,0.0002
4.5359,13.7055,76.6779,40.691,819.7636,0.0108
4.2261,14.0291,72.5334,35.8826,821.3815,0.0011
5.9181,14.1662,70.0106,37.1967,819.2264,0.0011
4.9003,13.3846,74.3605,49.3965,816.7141,0.0164
3.9589,12.668,63.8452,42.491,816.3432,0.0012
6.5432,15.4754,51.2412,27.4465,818.7007,0
8.3433,20.7847,34.9319,8.4688,820.0165,0
9.11,22.5703,27.7146,1.0097,819.8931,0
5.0278,21.3034,35.2672,33.055,817.9012,0
4.7748,16.8603,67.095,39.9861,819.9308,0.0113
7.9937,17.4606,64.894,13.8521,817.6305,0
8.8599,20.2668,41.4079,9.4375,814.804,0
8.5688,19.283,48.2663,8.4924,818.4992,0
8.842,23.2327,24.8836,4.2458,813.2582,0
8.4781,20.0747,36.9248,15.8964,815.7016,0
6.4282,16.8761,54.6272,22.1521,817.9222,0.0011
6.4951,18.3621,49.4028,18.6911,815.9663,0
5.0198,13.6416,78.2528,44.189,819.2293,0
2.6678,10.8746,88.8849,49.4125,816.6767,0.0085
9.2057,12.5696,53.3581,4.2507,819.5845,0
7.8433,20.3717,30.0282,23.3215,815.3318,0
3.9391,18.4856,48.4017,39.1458,815.6537,0.0018
6.977,15.7607,75.9774,28.6632,819.8313,0.0007
9.0118,22.8347,31.212,7.1174,811.7309,0
6.0778,16.8822,45.024,26.6535,810.1344,0.0009
6.4445,16.2892,44.2108,39.8979,813.4641,0
7.0562,21.7406,19.3011,27.0361,809.8486,0
8.4343,22.4078,18.4124,10.1535,810.2759,0.0002
6.8893,16.9095,48.0471,25.0257,813.7381,0.0023
8.9575,17.6313,48.8929,4.1076,819.4663,0
8.6085,21.888,26.2833,7.7444,819.2002,0
5.3075,21.6116,31.194,51.2799,816.7956,0
4.5792,18.2764,47.2199,40.2618,818.3939,0.0002
7.7806,16.7627,68.554,19.0278,820.1074,0.0002
7.5899,18.246,66.0617,28.4403,820.2311,0
6.2109,21.3114,48.9569,24.8792,817.4613,0
5.8908,22.1786,34.9584,26.8464,812.0643,0
5.9655,18.9535,47.6644,29.5882,811.1112,0.0011
9.0721,21.0723,29.3273,4.4889,814.5808,0
9.133,24.4364,22.891,7.7174,816.0212,0
7.0501,23.9042,25.1123,19.4931,816.8693,0
7.0403,18.032,42.3933,27.959,823.2957,0
8.346,19.7277,48.7005,18.525,823.1204,0
7.3946,22.9434,40.4528,20.0847,821.0134,0
5.7111,23.5438,35.1525,30.2118,821.8086,0.0004
4.4419,25.0901,26.9232,31.4312,821.8889,0
6.9075,26.9296,21.8809,26.4729,821.1907,0
5.4914,26.005,35.4583,24.6917,819.0114,0.0122
5.1803,19.4158,73.2335,43.2799,823.2018,0
6.9099,23.8647,42.1228,26.391,818.7638,0
6.7766,25.5336,31.4189,22.0924,817.5849,0
4.7883,21.756,60.1404,34.9891,820.9452,0.0023
4.7382,19.722,71.7604,42.9021,824.206,0
7.5941,21.6122,56.6095,19.0799,824.8866,0
7.2454,21.6471,51.7423,19.2826,825.0667,0
5.2582,18.6447,69.0414,30.0056,821.1697,0.0005
5.701,16.5758,81.5065,34.6604,818.9504,0.0065
7.0783,17.7105,67.6261,21.2118,819.5431,0
6.416,23.8645,34.4307,23.4871,817.6306,0
6.854,26.4238,23.3801,13.1181,817.7166,0
6.2269,26.5872,24.6359,25.0042,818.6217,0
6.1381,27.2331,23.5603,40.0453,820.5456,0
7.9557,26.2287,27.8793,5.4625,824.8348,0
