TOT Global CMP22 (vent/cor) [kW-hr/m^2],AVG Tower Dry Bulb Temp [deg C],AVG Tower RH [%],AVG Total Cloud Cover [%],AVG Station Pressure [mBar],AVG Precipitation [mm]
4.9226,9.6101,24.6349,11.9694,812.4601,0
4.4727,8.4087,25.497,29.7854,817.4205,0
3.2382,9.0905,27.3172,31.9479,818.2999,0
3.1744,9.5701,31.6687,34.9944,815.5738,0
3.6223,12.7154,24.2437,29.409,807.4905,0
2.3479,5.8224,53.323,29.4812,802.8235,0.0007
4.7263,3.4653,59.5502,17.7872,810.7771,0
3.8169,5.3996,35.8475,26.366,813.9726,0
5.883,9.5946,27.2326,4.3521,818.8904,0
5.898,13.3428,20.3725,6.3187,816.4921,0
4.1459,11.5875,29.3895,39.3778,808.2622,0
3.8264,11.4825,24.1917,29.8257,810.2589,0
5.4262,8.6433,34.2518,12.8778,807.2495,0
5.6577,1.5639,36.913,11.9179,813.3831,0
6.3902,2.3741,33.9261,8.709,815.7303,0
1.7131,-1.4646,79.8613,42.4965,814.6585,0
3.9211,-5.0329,88.928,41.984,819.4235,0.0055
4.8649,-3.8474,59.3072,20.1058,823.1072,0.0019
6.7248,3.5228,34.583,3.2563,820.2458,0
5.8102,14.5282,18.3688,38.7958,812.6864,0
6.0109,13.336,22.0858,15.1076,803.1532,0.0018
1.7799,-1.462,100.1523,43.4014,807.6194,0.0019
5.193,1.6948,62.1458,18.5639,812.4066,0.0074
4.3648,2.7715,59.4715,29.6729,809.213,0
3.4124,-2.5411,78.9173,37.8062,816.1204,0.0014
7.1956,3.5918,31.6823,3.059,816.2659,0
5.9036,8.3433,34.7746,25.0132,809.4685,0
4.4456,6.2845,65.9547,36.8182,804.6275,0.0002
4.0634,1.3655,72.2401,30.5764,807.5501,0.0005
3.0414,-0.6136,77.3298,45.6569,810.4516,0.0049
7.2604,3.0875,38.1226,5.1069,817.5883,0
7.2461,10.2084,26.7767,3.225,820.0455,0
7.3375,13.2959,22.873,3.2299,817.5696,0
6.3241,14.0585,27.5124,16.4535,819.6383,0
6.0495,9.9198,28.2331,18.9569,816.0846,0
7.436,12.874,17.3358,7.5535,819.0834,0
7.3045,11.3484,37.1931,4.4076,821.4284,0
6.0772,10.9356,36.0307,35.6674,819.9785,0
5.6998,13.4682,32.427,27.2042,810.3502,0
3.4584,11.3544,49.221,45.5667,811.2906,0.0078
4.4978,6.8151,76.7832,32.7736,817.066,0
6.0841,12.381,44.6182,25.3986,817.6246,0
6.0385,14.6365,34.0962,20.3167,816.3695,0
5.9508,16.058,28.2608,27.2722,809.3298,0
2.0874,5.9701,66.5768,43.875,808.74,0.0021
1.5867,-0.2682,100.1,47.2826,811.4372,0.0074
4.6521,-0.1115,94.5566,46.5868,814.1572,0.0162
4.535,1.3084,75.5984,41.2806,818.9449,0.0002
6.5099,4.0737,67.0076,34.4635,818.8152,0.0002
5.9002,7.05,58.754,32.0986,816.9917,0
8.0354,10.7142,48.8383,3.7208,820.4884,0
7.2414,15.7773,31.0267,10.7181,816.4197,0
4.6286,15.9066,26.8027,43.9681,808.364,0
4.7483,12.1487,26.7341,34.5458,806.9896,0
6.7561,12.3849,40.2789,23.7861,805.8342,0
2.5327,4.6346,75.0115,36.909,806.3608,0.0026
6.4387,4.8555,65.666,29.4674,809.3805,0
1.2488,1.1936,90.0698,48.4715,813.9943,0.0021
1.7383,0.0367,100.1,48.4701,812.1961,0.0097
2.9633,-0.1646,99.8022,50.091,813.0675,0.0085
2.3308,0.685,89.2434,47.9097,819.6183,0.0032
8.5909,6.4493,51.1009,4.4653,820.5884,0
8.542,11.3839,36.918,4.6049,821.7497,0
8.4994,15.35,31.2549,5.0514,821.5414,0
7.6589,18.9215,25.7947,19.8931,818.2203,0
5.2894,17.4575,36.8854,32.6014,814.0925,0.0002
0.8751,8.7547,84.6697,48.5978,812.2605,0.0079
4.7715,7.8895,64.5503,37.2771,807.7596,0.0002
6.5986,11.8027,54.3458,22.659,806.1159,0
4.9591,11.5617,62.3537,39.175,813.2731,0
6.5896,9.4834,57.5175,22.6472,820.4544,0
8.703,13.2176,37.6073,6.5646,822.6143,0
7.7649,14.3039,38.5271,27.6882,822.6175,0
2.4139,5.6825,89.6192,51.8678,821.8789,0.0002
3.293,6.8642,86.9983,52.7975,814.6867,0.0023
0.9216,4.8239,100.0996,50.3229,812.1743,0.0085
1.759,4.4165,94.7645,50.9618,817.7691,0.0007
7.4539,10.8539,64.8632,14.3721,817.8296,0
7.6152,15.7911,38.6981,25.8381,812.2884,0
7.5267,18.6086,32.4694,29.3681,811.9827,0
