3.7615,609.291,9.3255,17.34,0.94,30.8036,100.1,11.99,2.575,13,-1,808.6485,811.573,805.323,0.0002,0.254,0
3.6362,627.89,2.5849,7.673,-0.647,59.5851,100.1,24.4,7.8511,93,-1,810.9177,817.262,805.643,0.0086,0.254,0
3.7074,609.106,3.8294,8.39,-1.216,39.3405,68.64,24.63,2.3937,47,-1,820.5424,822.08,816.848,0,0,0
3.596,604.605,6.1045,15.13,-2.292,32.6883,74.82,11.73,3.4846,41,-1,819.6849,821.06,818.496,0,0,0
3.6703,604.038,10.5456,17.75,3.948,21.9901,35.23,10.81,2.563,12,-1,817.326,818.973,815.589,0,0,0
3.4592,606.999,10.0029,17.06,5.449,16.2302,25.92,8.53,8.3473,92,-1,809.8073,815.581,803.615,0,0,0
1.0871,711.423,3.8176,8.11,-0.665,53.2368,100.1,14.74,33.6812,99,-1,802.5068,806.206,799.865,0.0019,0.254,0
2.6883,654.833,1.5626,7.831,-1.861,67.6503,100.1,30.46,18.3933,97,-1,806.4954,808.523,802.511,0.009,1.016,0
3.4057,647.77,4.0566,9.87,-2.802,46.0377,78.53,22.42,5.4396,53,-1,806.5462,816.121,796.864,0,0,0
3.4147,599.272,3.3565,9.53,-3.367,45.782,70.34,27.6,2.5007,17,-1,815.0627,816.816,812.064,0,0,0
2.0925,700.624,2.5671,11.32,-6.481,68.1871,100.1,31.09,17.6792,99,-1,815.5575,825.532,809.662,0.0005,0.254,0
3.4161,833.372,0.3774,8.23,-9.64,44.603,100.1,7.724,12.666,96,-1,820.4915,825.649,816.72,0.0023,0.508,0
3.3587,560.607,10.2842,17.53,3.98,16.4659,31.01,8.4,2.3194,11,-1,817.1439,818.384,815.369,0,0,0
3.2939,600.911,9.5665,16.25,4.543,20.9955,30.99,11.32,5.2512,48,-1,815.5522,817.967,812.478,0,0,0
3.1664,582.88,10.4317,16.48,5.704,18.6079,28.92,11.53,5.4277,78,-1,810.0673,812.452,808.26,0,0,0
2.0228,681.124,2.1405,11.11,-4.511,56.5531,100.1,18.26,18.2135,97,-1,811.4696,815.52,807.937,0,0,0
0.7136,184.736,-7.151,-4.46,-10.35,100.1301,100.2,100.1,32.066,97,-1,819.8277,824.792,815.427,0,0,0
1.4636,708.232,-9.3949,-1.004,-11.75,100.1288,100.2,80.9,27.4113,98,-1,823.1887,825.163,819.913,0,0,0
2.646,663.428,-8.3251,-3.196,-10.8,91.7524,100.2,60,21.1903,97,-1,818.1487,819.916,817.184,0.0044,0.508,0
