TOT Global CMP22 (vent/cor) [kW-hr/m^2],MAX Global CMP22 (vent/cor) [W/m^2],AVG Tower Dry Bulb Temp [deg C],MAX Tower Dry Bulb Temp [deg C],MIN Tower Dry Bulb Temp [deg C],AVG Tower RH [%],MAX Tower RH [%],MIN Tower RH [%],AVG Total Cloud Cover [%],MAX Total Cloud Cover [%],MIN Total Cloud Cover [%],AVG Station Pressure [mBar],MAX Station Pressure [mBar],MIN Station Pressure [mBar],AVG Precipitation [mm],MAX Precipitation [mm],MIN Precipitation [mm]
27591,5291970,-75890,13650,-125100,648032,840000,315100,41618,660000,-10000,8030672,8280650,7905630,0,0,0
25702,5930170,-77901,-38700,-120200,562448,741400,425500,75090,890000,-10000,8102965,8130190,8067300,0,0,0
25612,5995930,-79763,-19700,-120900,597656,753000,401300,118042,930000,-10000,8150072,8184190,8125090,0,0,0
26045,6235530,-85019,-23590,-122800,602466,747700,457900,112125,990000,-10000,8222262,8253840,8181410,0,0,0
31137,5394600,-43312,39080,-120400,308286,612400,134200,19007,110000,-10000,8236478,8246520,8223180,0,0,0
30632,5454640,3561,78740,-51080,200155,314900,84500,23201,130000,-10000,8224169,8235910,8216730,0,0,0
29419,5179660,26091,104400,-36690,304364,474600,156500,22632,140000,-10000,8218481,8231630,8203270,0,0,0
28247,5255880,28839,99800,-9040,401323,569400,230500,32715,190000,-10000,8157132,8203270,8119470,0,0,0
29291,5200350,40622,89500,5840,334792,485600,217600,19833,160000,-10000,8103244,8119400,8091530,0,0,0
26425,5625600,29167,87400,-8660,430706,598400,265500,83590,550000,-10000,8081892,8097540,8063810,0,0,0
17087,3739890,4394,32030,-17380,731675,1001000,482700,305785,990000,-10000,8062575,8072610,8048460,0,0,0
13287,3994040,-51331,-14360,-76490,999512,1002000,826000,291715,980000,-10000,8102300,8130610,8066020,11,2540,0
28426,6040320,-56644,9330,-105800,799303,1002000,461700,64660,850000,-10000,8138877,8158090,8122640,28,15240,0
31954,5414090,-42969,29830,-116500,579497,1002000,206400,17236,90000,-10000,8143424,8157170,8130150,0,0,0
27464,6042850,13432,73180,-58250,212353,412600,87000,159444,970000,-10000,8145584,8162790,8126920,0,0,0
25608,6318260,55356,113800,6050,147428,339200,43300,104875,920000,-10000,8168639,8188150,8148420,0,0,0
25619,7494680,75651,131700,31860,221519,387000,86400,200368,990000,-10000,8125482,8171800,8073130,0,0,0
32938,5694430,37663,72780,-11420,248067,438900,74350,24493,180000,-10000,8060167,8077800,8021220,0,0,0
22670,6265830,-20035,24010,-71920,482982,798500,273400,190431,980000,-10000,8076473,8116540,8057780,0,0,0
27965,8446080,-17620,39200,-72510,360005,798400,195900,114764,940000,-10000,8114963,8143320,8096180,0,0,0
31671,5582210,-7406,67560,-95600,471881,1002000,255000,38069,530000,-10000,8135695,8162910,8099520,0,0,0
21494,6912500,56833,116200,2570,319184,413600,219100,255289,980000,-10000,8131421,8156670,8113450,0,0,0
31540,5707780,22436,58570,-13590,597651,1001000,316100,48796,700000,-10000,8165056,8203180,8124760,12,2540,0
27963,7126080,36706,93200,-3500,306913,449200,195700,267056,960000,-10000,8118945,8177980,8084440,0,0,0
34285,6309440,6872,62070,-27980,348632,516900,182900,21368,180000,-10000,8214089,8234380,8177450,0,0,0
31380,6220510,66317,141400,-22510,333108,500300,221500,59146,620000,-10000,8190861,8215500,8155660,0,0,0
27913,6271920,89834,155100,25290,204231,433800,99500,73444,530000,-10000,8129208,8155570,8090650,0,0,0
27251,5883670,36256,105500,-3850,414834,801000,160700,99674,890000,-10000,8064435,8095090,8037030,0,0,0
26817,7868400,-6237,40170,-49080,622041,1002000,304500,205868,970000,-10000,8148340,8195160,8094920,0,0,0
35686,6084340,797,68990,-60800,340721,867000,155300,22000,140000,-10000,8199571,8212840,8190110,4,2540,0
35805,5909270,56333,112000,-16200,321489,454200,230200,24937,250000,-10000,8201411,8220190,8187200,0,0,0
36340,6027490,87764,158300,-2560,278556,531400,146700,23389,120000,-10000,8168445,8202710,8115770,0,0,0
33787,6195150,96971,135200,65690,198558,338900,90800,77278,940000,-10000,8094508,8125000,8054040,0,0,0
31885,7646480,74805,187100,-23190,480337,1001000,165200,166959,940000,-10000,8032154,8071660,7986740,0,0,0
12752,3338530,-28832,-3500,-51020,959945,1001000,581000,346549,980000,-10000,8065816,8106050,7998060,25,2540,0
13906,3466850,-48178,-27460,-67170,1000220,1002000,943000,348681,980000,-10000,8008845,8094000,7949530,0,0,0
27967,5997980,-77272,-58780,-100400,866304,1002000,635200,341243,980000,-10000,7946084,8051500,7869660,0,0,0
41457,7205430,-73249,-43630,-108100,371603,678000,247300,25431,240000,-10000,7998402,8170720,7864490,0,0,0
28792,6457000,-30975,44590,-73600,374822,630900,174200,205917,970000,-10000,8137803,8197490,7983910,39,7620,0
41321,6679760,-5872,34140,-46690,307773,424600,211100,32257,520000,-10000,8217192,8238930,8191830,0,0,0
25254,8325690,56320,102800,7180,273515,369900,138000,203250,970000,-10000,8193337,8214170,8176150,0,0,0
34666,7135140,7148,73510,-67290,528570,1000000,106800,103056,930000,-10000,8221453,8257290,8178210,0,0,0
40910,6765090,20418,90700,-71960,524609,999000,295300,33937,390000,-10000,8243230,8263210,8226440,0,0,0
42672,6741590,86368,133200,25640,232644,381700,120200,23444,100000,-10000,8233473,8244360,8218340,0,0,0
37973,7380820,134046,202100,81800,109798,201100,48390,132375,960000,-10000,8201351,8218240,8179790,0,0,0
26762,8126790,112855,169600,58280,213054,422900,96100,239389,970000,-10000,8204064,8228820,8187850,0,0,0
36582,7858610,65071,119100,16230,507012,785200,301400,120965,650000,-10000,8223899,8239270,8201760,0,0,0
42578,7869870,98256,186000,-13790,338851,1001000,50350,72542,550000,-10000,8153517,8202630,8094080,0,0,0
31558,9657850,60149,125000,-1430,351854,612600,195300,286382,980000,-10000,8128854,8164250,8100400,0,0,0
33046,7627550,87428,143400,27240,319957,427600,232300,234788,980000,-10000,8113348,8151590,8071420,0,0,0
26140,6071330,58875,137600,-4440,534257,1001000,147200,250625,950000,-10000,8154417,8173070,8138480,0,0,0
43593,7907110,101143,172400,36830,234327,372800,136500,112832,740000,-10000,8135224,8165180,8081620,0,0,0
46018,8199290,130211,219500,51800,213595,576900,78910,43576,490000,-10000,8060547,8118570,8011480,0,0,0
45777,8067650,114352,187600,53330,114571,297800,34540,146986,940000,-10000,8133614,8145620,8117580,0,0,0
46585,8810050,100223,167500,29780,207571,460700,77670,79507,750000,-10000,8164928,8201760,8143380,0,0,0
46642,7866590,21994,72900,-27070,456490,617600,297900,58667,570000,-10000,8212039,8244090,8171940,0,0,0
33497,7144460,16054,87500,-25590,598047,1001000,255400,360111,1000000,-10000,8139161,8171620,8111750,0,0,0
46836,8091270,-10756,37400,-39160,647134,1001000,336000,123424,970000,-10000,8201982,8219770,8165130,60,2540,0
51219,7733680,27172,90300,-24720,243981,490200,92700,27868,120000,-10000,8187662,8220510,8166060,0,0,0
50694,7560490,7743,88600,-56370,401765,584600,223400,27861,190000,-10000,8220402,8245070,8201280,0,0,0
51840,7948460,80277,159400,-4500,293573,530200,116400,35431,230000,-10000,8208128,8234520,8179540,0,0,0
38621,9135210,125546,202300,50810,163735,391000,83100,226396,1000000,-10000,8131743,8179820,8089650,0,0,0
52822,7817290,98007,155000,47170,210380,345900,123700,43389,520000,-10000,8156594,8173290,8138350,0,0,0
47073,9431800,86540,159600,1180,315902,937000,109300,109201,900000,-10000,8139305,8177010,8113150,0,0,0
40769,9225350,60619,121900,1520,253479,345800,173300,264722,920000,-10000,8174394,8201840,8136370,0,0,0
49226,8186840,96101,134100,56530,246349,650500,109400,119694,980000,-10000,8124601,8175010,8095880,0,0,0
44727,10251200,84087,160700,1900,254970,605000,102100,297854,980000,-10000,8174205,8193290,8156120,0,0,0
32382,9289770,90905,142000,35330,273172,527800,146000,319479,1000000,-10000,8182999,8217400,8153130,0,0,0
31744,8898990,95701,167500,27830,316687,522600,160100,349944,1000000,-10000,8155738,8206110,8112890,0,0,0
36223,11328000,127154,186600,79110,242437,399100,130700,294090,990000,-10000,8074905,8115470,8033580,0,0,0
23479,6909490,58224,117000,6780,533230,959000,230200,294812,1000000,-10000,8028235,8076550,8003010,7,2540,0
47263,10396800,34653,83000,-4430,595502,902000,347100,177872,840000,-10000,8107771,8126280,8076400,0,0,0
38169,10314400,53996,120400,-10320,358475,692000,152900,263660,1000000,-10000,8139726,8185380,8109950,0,0,0
58830,8323880,95946,188900,13170,272326,474100,131500,43521,210000,-10000,8188904,8199790,8175480,0,0,0
58980,8537120,133428,207100,73730,203725,284000,95000,63187,480000,-10000,8164921,8195560,8122580,0,0,0
41459,9816000,115875,174100,60280,293895,418300,173400,393778,1000000,-10000,8082622,8122460,8055790,0,0,0
38264,9214210,114825,151500,68320,241917,343400,173500,298257,1000000,-10000,8102589,8120230,8089950,0,0,0
54262,8863380,86433,154100,29810,342518,723900,134900,128778,850000,-10000,8072495,8098780,8044100,0,0,0
56577,11175400,15639,60780,-15870,369130,1001000,202200,119179,850000,-10000,8133831,8151270,8094010,0,0,0
63902,9795600,23741,73510,-19030,339261,688800,155100,87090,660000,-10000,8157303,8176200,8140540,0,0,0
17131,3858750,-14646,6990,-34380,798613,1001000,469800,424965,990000,-10000,8146585,8170610,8129200,0,0,0
39211,7542850,-50329,-20600,-73550,889280,1002000,574700,419840,1000000,-10000,8194235,8212660,8165000,55,2540,0
48649,11025400,-38474,15050,-71500,593072,1002000,278400,201058,980000,-10000,8231072,8245020,8206980,19,5080,0
67248,9135170,35228,130000,-66650,345830,588200,160800,32563,130000,-10000,8202458,8237300,8165550,0,0,0
58102,10531900,145282,219100,71740,183688,314800,83400,387958,1000000,-10000,8126864,8165430,8083130,0,0,0
60109,10683000,133360,204900,32760,220858,1001000,69710,151076,830000,-10000,8031532,8083140,7997110,18,2540,0
17799,2860230,-14620,32520,-60100,1001523,1002000,1001000,434014,980000,-10000,8076194,8155230,8009130,19,2540,0
51930,10885700,16948,73230,-67380,621458,1002000,270800,185639,990000,-10000,8124066,8237140,8001440,74,30480,0
43648,10993800,27715,94900,-11450,594715,1001000,242500,296729,1000000,-10000,8092130,8125080,8074610,0,0,0
34124,7415790,-25411,21460,-55920,789173,1002000,438000,378062,990000,-10000,8161204,8189110,8123780,14,2540,0
71956,9566720,35918,100300,-41400,316823,648000,143100,30590,110000,-10000,8162659,8184610,8132920,0,0,0
59036,10807600,83433,157100,14530,347746,489700,173600,250132,1000000,-10000,8094685,8132930,8052530,0,0,0
44456,12125700,62845,115700,25850,659547,1001000,349700,368182,990000,-10000,8046275,8062850,8018680,2,2540,0
40634,11683000,13655,81700,-43040,722401,1001000,218200,305764,1000000,-10000,8075501,8110560,8052140,5,2540,0
30414,8237350,-6136,60120,-42040,773298,1001000,460700,456569,1000000,-10000,8104516,8127850,8083960,49,20320,0
72604,10345100,30875,88800,-35850,381226,532600,246200,51069,390000,-10000,8175883,8216010,8116110,0,0,0
72461,9539740,102084,169700,35340,267767,379900,163000,32250,110000,-10000,8200455,8227640,8169000,0,0,0
73375,9585760,132959,183800,86100,228730,364300,124100,32299,110000,-10000,8175696,8212090,8162190,0,0,0
63241,11290100,140585,208000,69420,275124,442800,141900,164535,950000,-10000,8196383,8217080,8169480,0,0,0
60495,10976000,99198,177900,56170,282331,507500,128100,189569,990000,-10000,8160846,8199700,8133650,0,0,0
74360,9925240,128740,199800,44880,173358,283800,96300,75535,690000,-10000,8190834,8208830,8173100,0,0,0
73045,9500920,113484,169100,55980,371931,607300,193400,44076,150000,-10000,8214284,8234500,8191220,0,0,0
60772,9471600,109356,164200,48190,360307,591500,193800,356674,990000,-10000,8199785,8227220,8155600,0,0,0
56998,13110800,134682,216800,60560,324270,490700,166900,272042,970000,-10000,8103502,8155470,8079210,0,0,0
34584,10926200,113544,183100,18790,492210,1001000,225400,455667,1000000,-10000,8112906,8156610,8076400,78,2540,0
44978,12930300,68151,131900,23790,767832,1001000,443900,327736,1000000,-10000,8170660,8190630,8142740,0,0,0
60841,12391700,123810,201400,61290,446182,745400,222900,253986,980000,-10000,8176246,8187220,8159870,0,0,0
60385,11927100,146365,205000,96300,340962,462500,200700,203167,970000,-10000,8163695,8183330,8143140,0,0,0
59508,11776800,160580,226500,109700,282608,411400,150100,272722,990000,-10000,8093298,8143360,8043340,0,0,0
20874,8038950,59701,129000,30,665768,1001000,312200,438750,1000000,-10000,8087400,8114620,8044110,21,2540,0
15867,3547830,-2682,9170,-11550,1001000,1001000,1001000,472826,990000,-10000,8114372,8140330,8089190,74,2540,0
46521,13009200,-1115,31480,-17570,945566,1001000,686500,465868,990000,-10000,8141572,8199020,8080030,162,45720,0
45350,13999700,13084,81600,-16240,755984,1001000,379300,412806,1000000,-10000,8189449,8232300,8136400,2,2540,0
65099,13631500,40737,102600,-3590,670076,1001000,386800,344635,980000,-10000,8188152,8205380,8165320,2,2540,0
59002,10804700,70500,121700,15630,587540,811000,394400,320986,990000,-10000,8169917,8195810,8153390,0,0,0
80354,10095600,107142,171700,38070,488383,678100,288400,37208,130000,-10000,8204884,8214030,8189760,0,0,0
72414,10421800,157773,244300,63930,310267,561800,129300,107181,810000,-10000,8164197,8205080,8130880,0,0,0
46286,10465100,159066,238400,102500,268027,617800,145000,439681,1000000,-10000,8083640,8131980,8040130,0,0,0
47483,12244000,121487,174500,83500,267341,375100,193900,345458,1000000,-10000,8069896,8091990,8052930,0,0,0
67561,10785400,123849,182900,59710,402789,690800,179800,237861,990000,-10000,8058342,8090230,8024100,0,0,0
25327,9420850,46346,95000,690,750115,1001000,314400,369090,990000,-10000,8063608,8096150,8025960,26,2540,0
64387,13358800,48555,109700,-14200,656660,1001000,393000,294674,980000,-10000,8093805,8130640,8056300,0,0,0
12488,3595500,11936,22990,-1110,900698,1001000,661800,484715,990000,-10000,8139943,8153820,8126910,21,2540,0
17383,3977260,367,14310,-5880,1001000,1001000,1001000,484701,980000,-10000,8121961,8148980,8102890,97,2540,0
29633,7368670,-1646,13420,-12240,998022,1001000,846000,500910,990000,-10000,8130675,8165770,8082550,85,5080,0
23308,4293010,6850,33770,-9100,892434,1001000,652900,479097,990000,-10000,8196183,8237270,8146990,32,5080,0
85909,10464100,64493,144000,-18010,511009,960000,227600,44653,220000,-10000,8205884,8227650,8183280,0,0,0
85420,10353900,113839,174000,42260,369180,546700,205400,46049,140000,-10000,8217497,8232860,8196960,0,0,0
84994,10295600,153500,222700,84200,312549,432800,151700,50514,160000,-10000,8215414,8233240,8195230,0,0,0
76589,10500200,189215,256300,118600,257947,420200,127300,198931,990000,-10000,8182203,8202770,8159400,0,0,0
52894,11322100,174575,250500,124900,368854,553900,164200,326014,990000,-10000,8140925,8165140,8112360,2,2540,0
8751,3343820,87547,134900,47120,846697,1001000,447000,485978,990000,-10000,8122605,8143650,8083720,79,12700,0
47715,12933900,78895,134900,24610,645503,1001000,332600,372771,1000000,-10000,8077596,8112950,8050000,2,2540,0
65986,11900100,118027,181800,39640,543458,986000,262500,226590,1000000,-10000,8061159,8093270,8047680,0,0,0
49591,12874200,115617,175200,68350,623537,824000,229800,391750,1000000,-10000,8132731,8184610,8090590,0,0,0
65896,12116400,94834,150300,42330,575175,990000,308400,226472,970000,-10000,8204544,8241670,8184320,0,0,0
87030,10519100,132176,221500,34750,376073,754400,135200,65646,580000,-10000,8226143,8242880,8206900,0,0,0
77649,10843500,143039,214100,77120,385271,700500,114200,276882,970000,-10000,8226175,8253570,8198790,0,0,0
24139,11309100,56825,108800,32680,896192,1001000,636800,518678,1000000,-10000,8218789,8252810,8186210,2,2540,0
32930,9774070,68642,121900,27690,869983,1001000,609900,527975,1000000,-10000,8146867,8197560,8117430,23,2540,0
9216,2879430,48239,73560,20180,1000996,1001000,995000,503229,990000,-10000,8121743,8142550,8102500,85,2540,0
17590,6377680,44165,73480,18760,947645,1001000,714800,509618,990000,-10000,8177691,8212300,8136680,7,2540,0
74539,11104400,108539,179900,47060,648632,1001000,345500,143721,820000,-10000,8178296,8208230,8155950,0,0,0
76152,12744500,157911,223700,94800,386981,584900,208300,258381,940000,-10000,8122884,8156360,8098290,0,0,0
75267,11496500,186086,253100,119300,324694,460400,180200,293681,960000,-10000,8119827,8133360,8107450,0,0,0
84831,11466300,200766,269800,112700,290183,551500,96400,197931,810000,-10000,8118364,8146590,8088650,0,0,0
76558,10479100,158321,214500,111200,478658,853000,143500,201900,990000,-10000,8110765,8138620,8080470,0,0,0
57839,11963300,122033,176000,75520,561428,740700,330600,308153,980000,-10000,8133791,8147210,8119370,9,2540,0
70067,13258400,140150,204500,70270,551077,703900,271500,265560,970000,-10000,8131208,8154090,8109010,0,0,0
